name,original_label,ground_truth,correct_label,comment
jaleba,,,1,Manually added
kachori,,,1,Manually added
kadai�paneer,,,1,Manually added
kadhi�pakoda,,,1,Manually added
karela bharta,,,1,Manually added
katha meetha petha / halwakadoo,,,1,Manually added
kheer,,,1,Manually added
khichdi,,,1,Manually added
kofta,,,1,Manually added
kulfi�falooda,,,1,Manually added
lauki ke kofte,,,1,Manually added
lauki ki subji,,,1,Manually added
litti chokha,,,1,Manually added
"makki di roti,�sarson da saag",,,1,Manually added
mathura ke pede,,,1,Manually added
"methi�saag, chaulai saab",,,1,Manually added
misi roti,,,1,Manually added
mixed vegetable,,,1,Manually added
moong dal ka halwa,,,1,Manually added
murgh musallam,,,1,Manually added
mushroom do pyaza,,,1,Manually added
mushroom matar,,,1,Manually added
naan,,,1,Manually added
navrattan korma,,,1,Manually added
pakhala,,,1,Manually added
palak paneer,,,1,Manually added
paneer butter masala,,,1,Manually added
paneer tikka masala,,,1,Manually added
pani puri,,,1,Manually added
panjeeri,,,1,Manually added
papad,,,1,Manually added
paratha,,,1,Manually added
pattor,,,1,Manually added
phirni,,,1,Manually added
pindi chana,,,1,Manually added
pinni,,,1,Manually added
rajma chaval,,,1,Manually added
rajma,,,1,Manually added
ramatori subji,,,1,Manually added
rongi,,,1,Manually added
samosa,,,1,Manually added
samose,,,1,Manually added
sattu ki roti,,,1,Manually added
shahi paneer,,,1,Manually added
shahi tukra,,,1,Manually added
singhada halwa,,,1,Manually added
sooji�halwa,,,1,Manually added
sweet pethas / kesar petha / pista petha,,,1,Manually added
vegetable�jalfrezi,,,1,Manually added
tandoori chicken,,,1,Manually added
tandoori fish tikka,,,1,Manually added
attu,,,1,Manually added
avial,,,1,Manually added
halwa,,,1,Manually added
biryani,,,1,Manually added
bisi bele bath,,,1,Manually added
bonda,,,1,Manually added
chettinadu chicken,,,1,Manually added
chicken 65,,,1,Manually added
currivepillai sadam,,,1,Manually added
dibba rotti,,,1,Manually added
dosa,,,1,Manually added
double ka meetha,,,1,Manually added
ennai kathirikkai,,,1,Manually added
goli bajje,,,1,Manually added
idiappam,,,1,Manually added
idli,,,1,Manually added
indian omelette,,,1,Manually added
kaara kozhambu,,,1,Manually added
kanji,,,1,Manually added
keerai kootu,,,1,Manually added
keerai masiyal,,,1,Manually added
keerai�poriyal,,,1,Manually added
keerai sadam,,,1,Manually added
kerala beef fry,,,1,Manually added
koottu,,,1,Manually added
kori rotti,,,1,Manually added
kos kootu,,,1,Manually added
koshambri,,,1,Manually added
kothamali sadam,,,1,Manually added
kuzhakkattai,,,1,Manually added
kuzhambu,,,1,Manually added
masala dosa,,,1,Manually added
nandu omelette,,,1,Manually added
obbattu,,,1,Manually added
holige,,,1,Manually added
bobbattu,,,1,Manually added
pooran-poli,,,1,Manually added
olan,,,1,Manually added
pachadi,,,1,Manually added
paniyaram,,,1,Manually added
papadum,,,1,Manually added
paravannam,,,1,Manually added
parotta,,,1,Manually added
paruppu sadam,,,1,Manually added
payasam,,,1,Manually added
pesarattu,,,1,Manually added
pongal,,,1,Manually added
poriyal,,,1,Manually added
puli sadam,,,1,Manually added
puttu,,,1,Manually added
ragi mudhe,,,1,Manually added
rasam,,,1,Manually added
sajjige,,,1,Manually added
sakkara pongal,,,1,Manually added
sambar,,,1,Manually added
sandige,,,1,Manually added
sevai,,,1,Manually added
sevai�lunch,,,1,Manually added
thayir sadam,,,1,Manually added
mosaranna,,,1,Manually added
theeyal,,,1,Manually added
thengai sadam,,,1,Manually added
uttapam,,,1,Manually added
vada,,,1,Manually added
varuval,,,1,Manually added
wheat�upma,,,1,Manually added
yelumincham sadam,,,1,Manually added
chitranna,,,1,Manually added
amti,,,1,Manually added
zunka,,,1,Manually added
pitla,,,1,Manually added
kolim,,,1,Manually added
jawla,,,1,Manually added
saath,,,1,Manually added
naralachi vadi,,,1,Manually added
khobryachi vadi,,,1,Manually added
coconut vadi,,,1,Manually added
bajri no rotlo,,,1,Manually added
modak,,,1,Manually added
barfi,,,1,Manually added
basundi,,,1,Manually added
bhakri,,,1,Manually added
karanji,,,1,Manually added
bombil fry,,,1,Manually added
chaat,,,1,Manually added
chakri,,,1,Manually added
chakali,,,1,Manually added
chevdo,,,1,Manually added
cholafali,,,1,Manually added
chorafali,,,1,Manually added
copra paak,,,1,Manually added
daal dhokli,,,1,Manually added
dabeli,,,1,Manually added
dahi vada,,,1,Manually added
dalithoy,,,1,Manually added
dhokla,,,1,Manually added
doodhpak,,,1,Manually added
dudhi no halwo,,,1,Manually added
dum aaloo,,,1,Manually added
pohe,,,1,Manually added
gajar halwo,,,1,Manually added
gatta curry,,,1,Manually added
ghari,,,1,Manually added
ghooghra,,,1,Manually added
gud papdi,,,1,Manually added
gol papdi,,,1,Manually added
gulab jamun,,,1,Manually added
halvasan,,,1,Manually added
handwo,,,1,Manually added
gur,,,1,Manually added
jalebi,,,1,Manually added
jeera aloo,,,1,Manually added
juvar no rotlo,,,1,Manually added
kansar,,,1,Manually added
keri no ras,,,1,Manually added
khakhra,,,1,Manually added
khandvi,,,1,Manually added
kombdi vade,,,1,Manually added
koshimbir,,,1,Manually added
laapsi,,,1,Manually added
laddu,,,1,Manually added
locha,,,1,Manually added
malpua,,,1,Manually added
methi na gota,,,1,Manually added
modak,,,1,Manually added
mohanthal,,,1,Manually added
muthiya,,,1,Manually added
oondees,,,1,Manually added
panipuri,,,1,Manually added
patra,,,1,Manually added
pav bhaji,,,1,Manually added
penda,,,1,Manually added
pooran-poli,,,1,Manually added
puri,,,1,Manually added
puri bhaji,,,1,Manually added
rasya muthia,,,1,Manually added
sabudana khichadi,,,1,Manually added
sev khamani,,,1,Manually added
sev tameta,,,1,Manually added
shakarpara,,,1,Manually added
namakpara,,,1,Manually added
shankarpali,,,1,Manually added
shiro,,,1,Manually added
shrikhand,,,1,Manually added
sohan papdi,,,1,Manually added
soonvali,,,1,Manually added
sukhdi,,,1,Manually added
surnoli,,,1,Manually added
sutarfeni,,,1,Manually added
thalipeeth,,,1,Manually added
undhiyu,,,1,Manually added
upmaa,,,1,Manually added
vada pav,,,1,Manually added
veg kolhapuri,,,1,Manually added
vindaloo,,,1,Manually added
ghebar or�ghevar,,,1,Manually added
lilva�kachori,,,1,Manually added
maghaz,,,1,Manually added
undhiyu,,,1,Manually added
mag dhokli,,,1,Manually added
khichu,,,1,Manually added
thepla,,,1,Manually added
farsi puri,,,1,Manually added
khaman,,,1,Manually added
turiya patra vatana sabji,,,1,Manually added
mohan thaal,,,1,Manually added
churma ladoo,,,1,Manually added
